Artist,Album Title,Track Title,Track Position,Duration,Producer,Remixer,Release Date,Catalog Number,Label,release_id
Mariah Carey,My All / Breakdown,Fly Away (Butterfly Reprise) (Fly Away Club Mix),B2,9:50,,"Satoshi Tomiie, David Morales",1998,44 78822,Columbia,421168
Jessica Simpson,I Think I'm In Love With You,I Think I'm In Love With You (Peter Rauhofer Club Mix),A1,9:19,,Peter Rauhofer,2000,44 79467,Columbia,198157
Jessica Simpson,I Think I'm In Love With You,I Think I'm In Love With You (Peter Rauhofer Dub Mix),A2,6:00,,Peter Rauhofer,2000,44 79467,Columbia,198157
Jessica Simpson,I Think I'm In Love With You,I Think I'm In Love With You (Lenny B's Club Mix),B1,9:39,,Lenny Bertoldo,2000,44 79467,Columbia,198157
Jessica Simpson,I Think I'm In Love With You,I Think I'm In Love With You (Soda Club 'Funk' Mix),B2,7:30,,Soda Club,2000,44 79467,Columbia,198157
Destiny's Child,Independent Women Part I,Independent Women Part I (Maurice's Independent Man Remix),A1,7:30,Larry Sturm,Maurice Joshua,2000,44 79493,Columbia,123505
Destiny's Child,Independent Women Part I,Independent Women Part I (Album Version),A2,3:41,"Cory Rooney, Poke And Tone",,2000,44 79493,Columbia,123505
Destiny's Child,Independent Women Part I,Independent Women Part I (Instrumental),A3,3:41,"Cory Rooney, Poke And Tone",,2000,44 79493,Columbia,123505
Destiny's Child,Independent Women Part I,Independent Women Part I (Victor Calderone Club Mix),B1,9:36,,Victor Calderone,2000,44 79493,Columbia,123505
Destiny's Child,Independent Women Part I,Independent Women Part I (Victor Calderone Drum Dub Mix),B2,5:30,,Victor Calderone,2000,44 79493,Columbia,123505
Jessica Simpson,Irresistible,Irresistible (Hex Hector / Dezrok Club Mix),A1,8:53,,"Dezrok, Hex Hector",2001,44 79578,Columbia,751591
Jessica Simpson,Irresistible,Irresistible (So So Def Remix),A2,3:34,,Jermaine Dupri,2001,44 79578,Columbia,751591
Jessica Simpson,Irresistible,Irresistible (Riprock N' Alex G Remix Deluxe),A3,3:05,,"Alex G, Riprock",2001,44 79578,Columbia,751591
Jessica Simpson,Irresistible,Irresistible (Kupper Club Mix),B1,7:04,,Eric Kupper,2001,44 79578,Columbia,751591
Jessica Simpson,Irresistible,Irresistible (Kupper Club Mix Instrumental),B2,7:04,,Eric Kupper,2001,44 79578,Columbia,751591
Jessica Simpson,Irresistible,Irresistible (So So Def Remix Instrumental),B3,3:34,,Jermaine Dupri,2001,44 79578,Columbia,751591
Destiny's Child,Bootylicious,Bootylicious (Richard Vission's V-Quest),A1,6:06,"Beyoncé, Rob Fusari","Chico Bennett, Richard ""Humpty"" Vission",2001,44 79622,Columbia,229935
Destiny's Child,Bootylicious,Bootylicious (Richard Vission's D.J. Dub),A2,5:27,"Beyoncé, Rob Fusari","Chico Bennett, Richard ""Humpty"" Vission",2001,44 79622,Columbia,229935
Destiny's Child,Bootylicious,Bootylicious (Big Boyz Remix),B1,3:28,"Beyoncé, Rob Fusari","Jay Dee , Mike Lewin",2001,44 79622,Columbia,229935
Destiny's Child,Bootylicious,Bootylicious (Big Boyz Remix Instrumental),B2,3:24,"Beyoncé, Rob Fusari","Jay Dee, Mike Lewin",2001,44 79622,Columbia,229935
Destiny's Child,Bootylicious,Bootylicious (Album Version),B3,3:27,"Beyoncé, Rob Fusari",,2001,44 79622,Columbia,229935
Destiny's Child,Bootylicious,Bootylicious (Album Instrumental),B4,3:27,"Beyoncé, Rob Fusari",,2001,44 79622,Columbia,229935
Beyoncé,Krazy In Luv,Krazy In Luv (Rockwilder Remix),A1,4:12,"Beyoncé Knowles, Rich Harrison",Rockwilder,2003,44 79947,Columbia,239432
Beyoncé,Krazy In Luv,Krazy In Luv (Rockwilder Remix Instrumental),A2,4:12,"Beyoncé Knowles, Rich Harrison",Rockwilder,2003,44 79947,Columbia,239432
Beyoncé,Krazy In Luv,Krazy In Luv (Adam 12 So Crazy Remix),A3,4:30,"Beyoncé Knowles, Rich Harrison",Adam 12,2003,44 79947,Columbia,239432
Beyoncé,Krazy In Luv,Krazy In Luv (Maurice's Nu Soul Remix),B1,6:27,"Beyoncé Knowles, Rich Harrison",Maurice Joshua,2003,44 79947,Columbia,239432
Beyoncé,Krazy In Luv,Krazy In Luv (Junior's World Remix),B2,8:09,"Beyoncé Knowles, Rich Harrison",Junior Vasquez,2003,44 79947,Columbia,239432
Mariah Carey,Anytime You Need A Friend,Anytime You Need A Friend (All That And More Mix),A,10:53,,"Herb Powers Jr., Clivillés & Cole, Mariah Carey",1994,44X 77528,Columbia,545688
Mariah Carey,Anytime You Need A Friend,Anytime You Need A Friend (Ministry Of Sound Mix),B,9:43,,"Herb Powers Jr., Clivillés & Cole, Mariah Carey",1994,44X 77528,Columbia,545688
Mariah Carey,Anytime You Need A Friend,Anytime You Need A Friend (Boriqua Tribe Mix),C,9:14,,"Herb Powers Jr., Clivillés & Cole, Mariah Carey",1994,44X 77528,Columbia,545688
Mariah Carey,Anytime You Need A Friend,Anytime You Need A Friend (C&C Dub),D1,10:18,,"Herb Powers Jr., Clivillés & Cole, Mariah Carey",1994,44X 77528,Columbia,545688
Mariah Carey,Anytime You Need A Friend,Anytime You Need A Friend (LP Version),D2,4:25,,,1994,44X 77528,Columbia,545688
Mariah Carey,I Still Believe,I Still Believe (Stevie J. Remix),A1,5:04,"Mariah Carey, Stevie J, Mike Mason",Stevie J,1998,44X 79104,Columbia,205635
Mariah Carey,I Still Believe,I Still Believe (Stevie J. Clean Remix),A2,5:04,"Mariah Carey, Stevie J, Mike Mason",Stevie J,1998,44X 79104,Columbia,205635
Mariah Carey,I Still Believe,I Still Believe (Stevie J. Remix Instrumental),A3,5:00,"Mariah Carey, Stevie J, Mike Mason",Stevie J,1998,44X 79104,Columbia,205635
Mariah Carey,I Still Believe,I Still Believe / Pure Imagination (Damizza Reemix),B1,4:32,"Mariah Carey, Stevie J, Mike Mason",Damizza,1998,44X 79104,Columbia,205635
Mariah Carey,I Still Believe,I Still Believe / Pure Imagination (Damizza Reemix Instrumental),B2,4:20,"Mariah Carey, Stevie J, Mike Mason",Damizza,1998,44X 79104,Columbia,205635
Mariah Carey,I Still Believe,I Still Believe / Pure Imagination (Damizza Reemix A Cappella),B3,4:32,"Mariah Carey, Stevie J, Mike Mason",Damizza,1998,44X 79104,Columbia,205635
Mariah Carey,I Still Believe,I Still Believe (Stevie J. Remix A Cappella),B4,5:04,"Mariah Carey, Stevie J, Mike Mason",Stevie J,1998,44X 79104,Columbia,205635
Mariah Carey,I Still Believe,I Still Believe (Morales' Classic Club Mix),C1,9:02,"Mariah Carey, Stevie J, Mike Mason",David Morales,1998,44X 79104,Columbia,205635
Mariah Carey,I Still Believe,I Still Believe (The Eve Of Souls Mix),C2,10:54,"Mariah Carey, Stevie J, Mike Mason",David Morales,1998,44X 79104,Columbia,205635
Mariah Carey,I Still Believe,I Still Believe (The Kings Mix),D1,8:04,"Mariah Carey, Stevie J, Mike Mason",David Morales,1998,44X 79104,Columbia,205635
Mariah Carey,I Still Believe,I Still Believe (The Kings Mix Instrumental),D2,8:06,"Mariah Carey, Stevie J, Mike Mason",David Morales,1998,44X 79104,Columbia,205635
Destiny's Child,Jumpin' Jumpin',Jumpin' Jumpin' (Maurice's Jumpin' Retro Mix),A1,8:20,,Maurice Joshua,2000,44X 79446,Columbia,75530
Destiny's Child,Jumpin' Jumpin',Jumpin' Jumpin' (Azza's Remix),A2,5:15,,K. Fingers,2000,44X 79446,Columbia,75530
Destiny's Child,Jumpin' Jumpin',Jumpin' Jumpin' (Digital Black N Groove Club Mix),B1,7:50,,Maurice Joshua,2000,44X 79446,Columbia,75530
Destiny's Child,Jumpin' Jumpin',Upside Down,B2,4:09,"Bruce Gillmer, Sean Murphy (14)",,2000,44X 79446,Columbia,75530
Destiny's Child,Jumpin' Jumpin',Jumpin' Jumpin' (Album Version),C1,3:47,"Beyoncé Knowles, Chad Elliott, Jovonn Alexander",,2000,44X 79446,Columbia,75530
Destiny's Child,Jumpin' Jumpin',Jumpin' Jumpin' (So So Def Remix) (Clean Version),C2,3:45,,,2000,44X 79446,Columbia,75530
Destiny's Child,Jumpin' Jumpin',Jumpin' Jumpin' (Remix Featuring Mr. Nitro),C3,4:26,,,2000,44X 79446,Columbia,75530
Destiny's Child,Jumpin' Jumpin',Jumpin' Jumpin' (Album Version Instrumental),C4,3:47,"Beyoncé Knowles, Chad Elliott, Jovonn Alexander",,2000,44X 79446,Columbia,75530
Destiny's Child,Jumpin' Jumpin',Jumpin' Jumpin' (So So Def Remix Instrumental),D1,3:45,,,2000,44X 79446,Columbia,75530
Destiny's Child,Jumpin' Jumpin',Jumpin' Jumpin' (Remix Featuring Mr. Nitro Instrumental),D2,4:26,,,2000,44X 79446,Columbia,75530
Destiny's Child,Jumpin' Jumpin',Jumpin' Jumpin' (Album Version A Cappella),D3,3:47,"Chad Elliott, Jovonn Alexander",,2000,44X 79446,Columbia,75530
Destiny's Child,Jumpin' Jumpin',Jumpin' Jumpin' (So So Def Remix A Cappella),D4,3:40,Beyoncé Knowles; Chad Elliott; Jovonn Alexander,Jermaine Dupri,2000,44X 79446,Columbia,75530
Destiny's Child,Emotion,Emotion (Calderone AM: Mix),A1,10:13,"Beyoncé Knowles, Mark J. Feist",Victor Calderone,2001,44X 79672,Columbia,176332
Destiny's Child,Emotion,Emotion (Calderone Dub Mix),A2,6:55,"Beyoncé Knowles, Mark J. Feist",Victor Calderone,2001,44X 79672,Columbia,176332
Destiny's Child,Emotion,Emotion (Maurice's NuSoul Mix),B1,7:55,"Beyoncé Knowles, Mark J. Feist",Maurice Joshua,2001,44X 79672,Columbia,176332
Destiny's Child,Emotion,Emotion (NuPrise Mix),B2,6:06,"Beyoncé Knowles, Mark J. Feist",Maurice Joshua,2001,44X 79672,Columbia,176332
Destiny's Child,Emotion,Emotion (The Neptunes Remix),C1,4:15,"Beyoncé Knowles, Mark J. Feist",The Neptunes,2001,44X 79672,Columbia,176332
Destiny's Child,Emotion,Emotion (The Neptunes Remix Instrumental),C2,4:15,"Beyoncé Knowles, Mark J. Feist",The Neptunes,2001,44X 79672,Columbia,176332
Destiny's Child,Emotion,Emotion (The Neptunes Remix A Cappella),C3,3:53,"Beyoncé Knowles, Mark J. Feist",The Neptunes,2001,44X 79672,Columbia,176332
Destiny's Child,Emotion,Emotion (Errol McCalla Remix),D1,3:58,"Beyoncé Knowles, Mark J. Feist","Erroll ""Poppi"" McCalla, Jr.",2001,44X 79672,Columbia,176332
Destiny's Child,Emotion,Emotion (Errol McCalla Remix Instrumental),D2,3:53,"Beyoncé Knowles, Mark J. Feist","Erroll ""Poppi"" McCalla, Jr.",2001,44X 79672,Columbia,176332
Destiny's Child,Emotion,Emotion (A Cappella),D3,3:54,"Beyoncé Knowles, Mark J. Feist",,2001,44X 79672,Columbia,176332
Ce Ce Peniston,Keep Givin' Me Your Love Remixes,Keep Givin' Me Your Love (D. Morales Remix),A1,7:03,David Morales,David Morales,1994,CAS 6727,Columbia,1062605
Ce Ce Peniston,Keep Givin' Me Your Love Remixes,Keep Givin' Me Your Love (West End Mix),A2,5:55,David Morales,West End,1994,CAS 6727,Columbia,1062605
Ce Ce Peniston,Keep Givin' Me Your Love Remixes,Keep Givin' Me Your Love (Boss Mix),B1,11:54,David Morales,David Morales,1994,CAS 6727,Columbia,1062605
Ce Ce Peniston,Keep Givin' Me Your Love Remixes,Keep Givin' Me Your Love (Radio Remix),B2,3:52,David Morales,,1994,CAS 6727,Columbia,1062605
Raffaella Carrà,Raffaella,Black Cat,A1,3:54,Gianni Boncompagni,,1978,PCC 90478,Columbia,808900
Raffaella Carrà,Raffaella,Sono Nera,A2,3:45,Gianni Boncompagni,,1978,PCC 90478,Columbia,808900
Raffaella Carrà,Raffaella,Dancin' In The Sun,A3,3:40,Gianni Boncompagni,,1978,PCC 90478,Columbia,808900
Raffaella Carrà,Raffaella,Tango,A4,3:00,Gianni Boncompagni,,1978,PCC 90478,Columbia,808900
Raffaella Carrà,Raffaella,Amoa,A5,3:25,Gianni Boncompagni,,1978,PCC 90478,Columbia,808900
Raffaella Carrà,Raffaella,Tanti Auguri,B1,3:50,Gianni Boncompagni,,1978,PCC 90478,Columbia,808900
Raffaella Carrà,Raffaella,Luca,B2,3:53,Gianni Boncompagni,,1978,PCC 90478,Columbia,808900
Raffaella Carrà,Raffaella,California,B3,3:58,Gianni Boncompagni,,1978,PCC 90478,Columbia,808900
Raffaella Carrà,Raffaella,Ci Vediamo Domani,B4,3:10,Gianni Boncompagni,,1978,PCC 90478,Columbia,808900
Raffaella Carrà,Raffaella,A Million Dollars,B5,2:50,Gianni Boncompagni,,1978,PCC 90478,Columbia,808900
Jennifer Lopez,Waiting For Tonight,Waiting For Tonight (Metro Club Mix),A1,5:51,Ric Wake,Metro,1999,XPR 2521,Columbia,62743
Jennifer Lopez,Waiting For Tonight,Waiting For Tonight (Album Version),A2,4:06,Ric Wake,,1999,XPR 2521,Columbia,62743
Jennifer Lopez,Waiting For Tonight,Waiting For Tonight (Pablo Flores Miami Mix),B,10:04,Ric Wake,Pablo Flores,1999,XPR 2521,Columbia,62743
Various,The Great Songs Of Christmas - Album Seven,Santa Claus Is Coming To Town,A1,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,Toyland,A2,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,This Christmas I Spend With You,A3,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,Deck The Hall With Boughs Of Holly,A4,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,Do You Hear What I Hear,A5,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,The Christmas Song,A6,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,'Twas The Night Before Christmas,A7,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,"God Rest Ye Merry, Gentlemen",A8,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,The First Noel,A9,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,The Lord's Prayer,A10,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,Rudolph The Red Nosed Reindeer,B1,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,Home For The Holidays,B2,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,O Little Town Of Bethlehem,B3,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,Let Me Be The First (To Wish You A Merry Christmas),B4,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,Patapan,B5,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,"O Come, All Ye Faithful",B6,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,Here We Come A-Caroling,B7,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,"Hark, The Herald Angels Sing",B8,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,Christmas Is,B9,,,,1967,CSS 547,Columbia Special Products,10473690
Various,The Great Songs Of Christmas - Album Seven,Silent Night,B10,,,,1967,CSS 547,Columbia Special Products,10473690
C + C Music Factory,Just A Touch Of Love,Just A Touch Of Love (Everyday) (The Standard House Mix),A1,6:52,C&C Music Factory,C&C Music Factory,1991,"44 74032, 44-74032","Columbia, Columbia",172756
C + C Music Factory,Just A Touch Of Love,Just A Touch Of Love (Everyday) (The Garage Dub 2 Mix),A2,5:35,C&C Music Factory,C&C Music Factory,1991,"44 74032, 44-74032","Columbia, Columbia",172756
C + C Music Factory,Just A Touch Of Love,Just A Touch Of Love (Everyday) (The C&C Garage Mix),B1,6:01,C&C Music Factory,C&C Music Factory,1991,"44 74032, 44-74032","Columbia, Columbia",172756
C + C Music Factory,Just A Touch Of Love,Just A Touch Of Love (Everyday) (The C&C Garage Dub Mix),B2,5:51,C&C Music Factory,C&C Music Factory,1991,"44 74032, 44-74032","Columbia, Columbia",172756
Clivillés & Cole,Pride (In The Name Of Love),Pride (In The Name Of Love) (Techno Remake Club Mix),A,7:57,,,1991,"44 74135, 44-74135","Columbia, Columbia",68878
Clivillés & Cole,Pride (In The Name Of Love),A Deeper Love (Underground Club Mix / Let's Go Chanting Mix),B,12:18,,,1991,"44 74135, 44-74135","Columbia, Columbia",68878
George Michael,Too Funky,Too Funky (Extended),A1,5:37,George Michael,,1992,"44 74352, 44 74352 S1","Columbia, Columbia",204955
George Michael,Too Funky,Too Funky (Digital Mix),A2,6:25,George Michael,"Chris Porter, Pete Gleadall",1992,"44 74352, 44 74352 S1","Columbia, Columbia",204955
George Michael,Too Funky,Too Jazzy (Happy Mix),B1,5:53,George Michael,,1992,"44 74352, 44 74352 S1","Columbia, Columbia",204955
George Michael,Too Funky,Crazyman Dance,B2,5:52,George Michael,,1992,"44 74352, 44 74352 S1","Columbia, Columbia",204955
C + C Music Factory Presents Freedom Williams And Zelma Davis,Here We Go,Here We Go (The Clivillés/Cole Rockin' In 91 Mix),A1,9:31,C&C Music Factory,C&C Music Factory,1991,"656688 6, COL 656688 6","Columbia, Columbia",180148
C + C Music Factory Presents Freedom Williams And Zelma Davis,Here We Go,Here We Go (Zelma Sings),A2,0:30,C&C Music Factory,C&C Music Factory,1991,"656688 6, COL 656688 6","Columbia, Columbia",180148
C + C Music Factory Presents Freedom Williams And Zelma Davis,Here We Go,Here We Go (The Rockin' In 91 Dub),B1,,C&C Music Factory,C&C Music Factory,1991,"656688 6, COL 656688 6","Columbia, Columbia",180148
C + C Music Factory Presents Freedom Williams And Zelma Davis,Here We Go,Here We Go (The Cole/Clivillés House Mix),B2,7:44,C&C Music Factory,C&C Music Factory,1991,"656688 6, COL 656688 6","Columbia, Columbia",180148
Adeva,I'm The One For You,I'm The One For You (Shelter Me Mix),A1,,,Roger Sanchez,1992,"12cool264, 3239086","Cooltempo, Chrysalis",756341
Adeva,I'm The One For You,I'm The One For You (Original Smack Mix),A2,,,,1992,"12cool264, 3239086","Cooltempo, Chrysalis",756341
Adeva,I'm The One For You,Megamix,B1,,,,1992,"12cool264, 3239086","Cooltempo, Chrysalis",756341
Adeva,I'm The One For You,I'm The One For You (Got It Goin' On Dub),B2,,,,1992,"12cool264, 3239086","Cooltempo, Chrysalis",756341
Juliet Roberts,Free Love,Free Love (Original Monster Club Mix),A1,7:46,,Rollo & Sister Bliss,1993,"12cool281, 7243 8 81012 6 4, 8 81012 6","Cooltempo, Chrysalis, Chrysalis",193439
Juliet Roberts,Free Love,Free Love (Morales Club Mix),A2,7:26,,David Morales,1993,"12cool281, 7243 8 81012 6 4, 8 81012 6","Cooltempo, Chrysalis, Chrysalis",193439
Juliet Roberts,Free Love,Free Love (Morales Classic Mix),AA1,7:14,,David Morales,1993,"12cool281, 7243 8 81012 6 4, 8 81012 6","Cooltempo, Chrysalis, Chrysalis",193439
Juliet Roberts,Free Love,Free Love (Dan's Disco Mix),AA2,6:50,,Dancin' Danny D,1993,"12cool281, 7243 8 81012 6 4, 8 81012 6","Cooltempo, Chrysalis, Chrysalis",193439
Juliet Roberts,I Want You,I Want You (K-Klass Klub Mix),A1,7:05,Dancin' Danny D,K-Klass,1994,"12coolx297, 7243 8 81683 6 6, 12cool2972, 12COOLX","Cooltempo, Cooltempo, Cooltempo, Slam Jam Records",183490
Juliet Roberts,I Want You,I Want You (Afro-Rican Dub),A2,4:10,,,1994,"12coolx297, 7243 8 81683 6 6, 12cool2972, 12COOLX","Cooltempo, Cooltempo, Cooltempo, Slam Jam Records",183490
Juliet Roberts,I Want You,I Want You (J. R.'s Sound Factory Mix),B1,7:45,,Junior Vasquez,1994,"12coolx297, 7243 8 81683 6 6, 12cool2972, 12COOLX","Cooltempo, Cooltempo, Cooltempo, Slam Jam Records",183490
Juliet Roberts,I Want You,I Want You (O. T. Hard To The Floor Mix),B2,6:03,,O.T.; Rollo & Rob D,1994,"12coolx297, 7243 8 81683 6 6, 12cool2972, 12COOLX","Cooltempo, Cooltempo, Cooltempo, Slam Jam Records",183490
Juliet Roberts,I Want You,I Want You (Our Tribe Mix),A1,7:12,Dancin' Danny D,"Our Tribe, Rollo & Rob D",1994,"12cool297, 72438 81682 6 7, 12cool2971","Cooltempo, Cooltempo, Slam Jam Records",75705
Juliet Roberts,I Want You,I Want You (K-Klass Dominoe Dub),A2,5:50,Dancin' Danny D,K-Klass,1994,"12cool297, 72438 81682 6 7, 12cool2971","Cooltempo, Cooltempo, Slam Jam Records",75705
Juliet Roberts,I Want You,I Want You (Monster Club Mix),B1,8:52,Dancin' Danny D,"Dancin' Danny D, Simon Dunmore",1994,"12cool297, 72438 81682 6 7, 12cool2971","Cooltempo, Cooltempo, Slam Jam Records",75705
Allure (3),All Cried Out The Remixes,All Cried Out (Dance Remix),A1,4:40,Full Force,Hex Hector,1997,40 78736,"Crave, Track Masters",298269
Allure (3),All Cried Out The Remixes,All Cried Out (Extended Club Remix),A2,10:45,Full Force,Hex Hector,1997,40 78736,"Crave, Track Masters",298269
Allure (3),All Cried Out The Remixes,All Cried Out (Dub Remix),B1,7:43,Full Force,Hex Hector,1997,40 78736,"Crave, Track Masters",298269
Allure (3),All Cried Out The Remixes,All Cried Out (A Cappella Remix),B2,4:41,Full Force,Hex Hector,1997,40 78736,"Crave, Track Masters",298269
Allure (3),All Cried Out The Remixes,Everytime I Think Of You,B3,3:30,Poke And Tone,,1997,40 78736,"Crave, Track Masters",298269
Barbara Tucker Feat. Darryl D'Bonneau,Stop Playing With My Mind,Stop Playing With My Mind (Harlem Hustlers Club Mix),A,,"DJ Vox Freddy Turner*, Jason ""Whiplash"" Hernandez",Harlem Hustlers,2000,DV 263,D:vision Records,81998
Barbara Tucker Feat. Darryl D'Bonneau,Stop Playing With My Mind,Stop Playing With My Mind (Full Intention Club Mix),B1,,"DJ Vox Freddy Turner*, Jason ""Whiplash"" Hernandez",Full Intention,2000,DV 263,D:vision Records,81998
Barbara Tucker Feat. Darryl D'Bonneau,Stop Playing With My Mind,Stop Playing With My Mind (Whipped N Turned Vocal Dub),B2,,"DJ Vox Freddy Turner*, Jason ""Whiplash"" Hernandez",Whiplash & Turner,2000,DV 263,D:vision Records,81998
Black Box,Dreamland,Everybody Everybody,A1,5:18,Groove Groove Melody,,1990,PL 74572,Deconstruction,2372632
Black Box,Dreamland,I Don't Know Anybody Else,A2,4:30,Groove Groove Melody,,1990,PL 74572,Deconstruction,2372632
Black Box,Dreamland,Open Your Eyes,A3,5:00,Groove Groove Melody,,1990,PL 74572,Deconstruction,2372632
Black Box,Dreamland,Fantasy,A4,5:15,Groove Groove Melody,,1990,PL 74572,Deconstruction,2372632
Black Box,Dreamland,Dreamland,B1,1:58,Groove Groove Melody,,1990,PL 74572,Deconstruction,2372632
Black Box,Dreamland,Ride On Time,B2,4:15,Groove Groove Melody,,1990,PL 74572,Deconstruction,2372632
Black Box,Dreamland,Hold On,B3,5:45,Groove Groove Melody,,1990,PL 74572,Deconstruction,2372632
Black Box,Dreamland,Ghost Box,B4,4:00,Groove Groove Melody,,1990,PL 74572,Deconstruction,2372632
Black Box,Dreamland,Strike It Up,B5,5:03,Groove Groove Melody,,1990,PL 74572,Deconstruction,2372632
Loleatta Holloway,Dreamin',Dreamin' (Satoshi Shell Shock Reconstruction),A1,,,"Satoshi Tomiie, Satoshi Tomiie",2000,DFECT22X,Defected,139806
Loleatta Holloway,Dreamin',Dreamin' (Hatiras Liquid Adrenaline Vocal Mix),B1,,,Hatiras,2000,DFECT22X,Defected,139806
Loleatta Holloway,Dreamin',Dreamin' (Satoshi Reconstructed Dubshell),C1,,,"Satoshi Tomiie, Satoshi Tomiie",2000,DFECT22X,Defected,139806
Loleatta Holloway,Dreamin',Dreamin' (Liquipella),C2,,,Hatiras,2000,DFECT22X,Defected,139806
Loleatta Holloway,Dreamin',Dreamin' (Hatiras Tripped Out Liquid Mix),D1,,,Hatiras,2000,DFECT22X,Defected,139806
Loleatta Holloway,Dreamin',Dreamin' (Percapella),D2,,,Satoshi Tomiie,2000,DFECT22X,Defected,139806
Blaze Presents Underground Dance Artists United For Life,Most Precious Love (Part Two),Most Precious Love (Franck Roger Remix),A1,,,Franck Roger,2005,DFTD100R,Defected,453025
Blaze Presents Underground Dance Artists United For Life,Most Precious Love (Part Two),Most Precious Love (Martin Solveig Re-Edit),A2,,,Martin Solveig,2005,DFTD100R,Defected,453025
Blaze Presents Underground Dance Artists United For Life,Most Precious Love (Part Two),Most Precious Love (Copyright ‘So Spiritual’ Dub),AA1,,,Copyright,2005,DFTD100R,Defected,453025
Blaze Presents Underground Dance Artists United For Life,Most Precious Love (Part Two),Most Precious Love (Copyright ‘Broken Down’ Dub),AA2,,,Copyright,2005,DFTD100R,Defected,453025
Martha Wash,Carry On 97,Carry On (Full Intention Club Mix),A1,7:40,"Eric Beall, Steve Skinner","Full Intention, Mike Gray & Jon Pearn",1997,DELIX 6,Delirious,177361
Martha Wash,Carry On 97,Carry On (Dan's Self Indulgent Mix),A2,8:37,"Eric Beall, Steve Skinner",Dancin' Danny D,1997,DELIX 6,Delirious,177361
Martha Wash,Carry On 97,Carry On (Tee's Crazy Mix),B1,9:30,"Eric Beall, Steve Skinner",Todd Terry,1997,DELIX 6,Delirious,177361
Martha Wash,Carry On 97,Carry On (Tuff Jam Vocal Mix),B2,6:50,"Eric Beall, Steve Skinner","Karl ""Tuff Enuff"" Brown, Matt ""Jam"" Lamont, Tuff Jam",1997,DELIX 6,Delirious,177361
Tamar,If You Don't Wanna Love Me (Hex Hector Dance Remix),If You Don't Wanna Love Me (Club Mix),A1,8:53,Tricky Stewart,Hex Hector,2000,DRMR-13518-1,"DreamWorks Records, Redzone Entertainment",745436
Tamar,If You Don't Wanna Love Me (Hex Hector Dance Remix),If You Don't Wanna Love Me (Radio Mix),A2,4:15,Tricky Stewart,Hex Hector,2000,DRMR-13518-1,"DreamWorks Records, Redzone Entertainment",745436
Tamar,If You Don't Wanna Love Me (Hex Hector Dance Remix),If You Don't Wanna Love Me (The Dub),B1,8:06,Tricky Stewart,Hex Hector,2000,DRMR-13518-1,"DreamWorks Records, Redzone Entertainment",745436
Tamar,If You Don't Wanna Love Me (Hex Hector Dance Remix),If You Don't Wanna Love Me (A Cappella),B2,3:44,Tricky Stewart,Hex Hector,2000,DRMR-13518-1,"DreamWorks Records, Redzone Entertainment",745436
Tamar,If You Don't Wanna Love Me (Hex Hector Dance Remix),If You Don't Wanna Love Me (Bonus Beats),B3,3:32,Tricky Stewart,Hex Hector,2000,DRMR-13518-1,"DreamWorks Records, Redzone Entertainment",745436
Stuntmasterz,The Ladyboy Is Mine,The Ladyboy Is Mine (Radio Edit),A,3:09,"Pete Cook, Steve Harris",,2001,"EW226T, 8573-86939-0","EastWest, EastWest",100180
Stuntmasterz,The Ladyboy Is Mine,The Ladyboy Is Mine (Club Edit),B,7:44,"Pete Cook, Steve Harris",,2001,"EW226T, 8573-86939-0","EastWest, EastWest",100180
Jennifer Paige,Crush (The Remixes),Crush (David Morales Club Mix),A1,7:10,"Andy Goldmark, Jimmy Bralower",David Morales,1998,"0043210ERE, edel 0043210ERE","Edel Records, Edel Records",61946
